,Area,Year,Item,Element Code,Unit,value
502293,South-eastern Asia,1963-01-01,"Groundnuts, excluding shelled",5312,ha,1146309.0
502300,South-eastern Asia,1963-01-01,"Jute, raw or retted",5312,ha,37718.0
502304,South-eastern Asia,1963-01-01,Kapok fruit,5312,ha,141600.0
502308,South-eastern Asia,1963-01-01,Lemons and limes,5312,ha,12399.0
502311,South-eastern Asia,1963-01-01,"Lentils, dry",5312,ha,1761.0
502314,South-eastern Asia,1963-01-01,Lettuce and chicory,5312,ha,10.0
502317,South-eastern Asia,1963-01-01,"Mangoes, guavas and mangosteens",5312,ha,169750.0
502321,South-eastern Asia,1963-01-01,Millet,5312,ha,141848.0
502327,South-eastern Asia,1963-01-01,Mustard seed,5312,ha,4047.0
502333,South-eastern Asia,1963-01-01,"Nutmeg, mace, cardamoms, raw",5312,ha,13700.0
502339,South-eastern Asia,1963-01-01,Oil palm fruit,5312,ha,125173.0
502342,South-eastern Asia,1963-01-01,"Onions and shallots, dry (excluding dehydrated)",5312,ha,120645.0
502345,South-eastern Asia,1963-01-01,"Onions and shallots, green",5312,ha,2432.0
502348,South-eastern Asia,1963-01-01,Oranges,5312,ha,49740.0
502353,South-eastern Asia,1963-01-01,Papayas,5312,ha,42360.0
502356,South-eastern Asia,1963-01-01,"Peas, dry",5312,ha,24921.0
502359,South-eastern Asia,1963-01-01,"Peas, green",5312,ha,6300.0
502362,South-eastern Asia,1963-01-01,"Pepper (Piper spp.), raw",5312,ha,44820.0
502366,South-eastern Asia,1963-01-01,"Pigeon peas, dry",5312,ha,54545.0
502369,South-eastern Asia,1963-01-01,Pineapples,5312,ha,117020.0
502372,South-eastern Asia,1963-01-01,Plantains and cooking bananas,5312,ha,30352.0
502375,South-eastern Asia,1963-01-01,Pomelos and grapefruits,5312,ha,14720.0
502378,South-eastern Asia,1963-01-01,Potatoes,5312,ha,39658.0
502382,South-eastern Asia,1963-01-01,"Pumpkins, squash and gourds",5312,ha,16520.0
502385,South-eastern Asia,1963-01-01,"Ramie, raw or retted",5312,ha,3520.0
502401,South-eastern Asia,1963-01-01,Rice,5312,ha,29090338.0
502404,South-eastern Asia,1963-01-01,"Seed cotton, unginned",5312,ha,306888.0
502407,South-eastern Asia,1963-01-01,Sesame seed,5312,ha,509709.0
502414,South-eastern Asia,1963-01-01,"Sisal, raw",5312,ha,5600.0
502417,South-eastern Asia,1963-01-01,Sorghum,5312,ha,8200.0
502421,South-eastern Asia,1963-01-01,Soya beans,5312,ha,636759.0
502424,South-eastern Asia,1963-01-01,Sugar cane,5312,ha,480886.0
502427,South-eastern Asia,1963-01-01,Sunflower seed,5312,ha,330.0
502431,South-eastern Asia,1963-01-01,Sweet potatoes,5312,ha,895487.0
502436,South-eastern Asia,1963-01-01,"Tangerines, mandarins, clementines",5312,ha,29870.0
502439,South-eastern Asia,1963-01-01,Taro,5312,ha,28560.0
502442,South-eastern Asia,1963-01-01,Tea leaves,5312,ha,178107.0
502445,South-eastern Asia,1963-01-01,Tomatoes,5312,ha,22310.0
502449,South-eastern Asia,1963-01-01,Unmanufactured tobacco,5312,ha,525146.0
502452,South-eastern Asia,1963-01-01,"Vanilla, raw",5312,ha,1000.0
502455,South-eastern Asia,1963-01-01,Watermelons,5312,ha,35690.0
502458,South-eastern Asia,1963-01-01,Wheat,5312,ha,58110.0
502461,South-eastern Asia,1963-01-01,Yams,5312,ha,6330.0
502465,South-eastern Asia,1964-01-01,"Abaca, manila hemp, raw",5312,ha,201854.0
502468,South-eastern Asia,1964-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2520.0
502471,South-eastern Asia,1964-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
502474,South-eastern Asia,1964-01-01,Areca nuts,5312,ha,90688.0
502478,South-eastern Asia,1964-01-01,Avocados,5312,ha,10300.0
502481,South-eastern Asia,1964-01-01,Bananas,5312,ha,556671.0
502484,South-eastern Asia,1964-01-01,"Beans, dry",5312,ha,940990.0
502491,South-eastern Asia,1964-01-01,"Broad beans and horse beans, green",5312,ha,30.0
502496,South-eastern Asia,1964-01-01,Cabbages,5312,ha,47800.0
502499,South-eastern Asia,1964-01-01,Canary seed,5312,ha,1000.0
502502,South-eastern Asia,1964-01-01,Carrots and turnips,5312,ha,750.0
502505,South-eastern Asia,1964-01-01,"Cashew nuts, in shell",5312,ha,7500.0
502508,South-eastern Asia,1964-01-01,"Cassava, fresh",5312,ha,1962978.0
502511,South-eastern Asia,1964-01-01,Castor oil seeds,5312,ha,50900.0
502516,South-eastern Asia,1964-01-01,Cauliflowers and broccoli,5312,ha,4580.0
502519,South-eastern Asia,1964-01-01,Cereals n.e.c.,5312,ha,56300.0
502523,South-eastern Asia,1964-01-01,"Chick peas, dry",5312,ha,139082.0
502527,South-eastern Asia,1964-01-01,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",5312,ha,90633.0
502530,South-eastern Asia,1964-01-01,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",5312,ha,68690.0
502533,South-eastern Asia,1964-01-01,"Cinnamon and cinnamon-tree flowers, raw",5312,ha,19000.0
502536,South-eastern Asia,1964-01-01,"Cloves (whole stems), raw",5312,ha,40150.0
502539,South-eastern Asia,1964-01-01,Cocoa beans,5312,ha,19442.0
502543,South-eastern Asia,1964-01-01,"Coconuts, in shell",5312,ha,3135940.0
502546,South-eastern Asia,1964-01-01,"Coffee, green",5312,ha,299201.0
