,Area,Year,Item,Element Code,Unit,value
507053,South-eastern Asia,1980-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,500.0
507056,South-eastern Asia,1980-01-01,Areca nuts,5312,ha,114127.0
507059,South-eastern Asia,1980-01-01,Asparagus,5312,ha,0.0
507062,South-eastern Asia,1980-01-01,Avocados,5312,ha,16140.0
507065,South-eastern Asia,1980-01-01,Bananas,5312,ha,710121.0
507068,South-eastern Asia,1980-01-01,"Beans, dry",5312,ha,1346663.0
507075,South-eastern Asia,1980-01-01,"Broad beans and horse beans, green",5312,ha,45.0
507080,South-eastern Asia,1980-01-01,Cabbages,5312,ha,58467.0
507336,South-eastern Asia,1981-01-01,"Abaca, manila hemp, raw",5312,ha,230714.0
507339,South-eastern Asia,1981-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3280.0
507342,South-eastern Asia,1981-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,500.0
507345,South-eastern Asia,1981-01-01,Areca nuts,5312,ha,117775.0
507348,South-eastern Asia,1981-01-01,Asparagus,5312,ha,0.0
507351,South-eastern Asia,1981-01-01,Avocados,5312,ha,20819.0
507354,South-eastern Asia,1981-01-01,Bananas,5312,ha,731051.0
507357,South-eastern Asia,1981-01-01,"Beans, dry",5312,ha,1506566.0
507364,South-eastern Asia,1981-01-01,"Broad beans and horse beans, green",5312,ha,45.0
507369,South-eastern Asia,1981-01-01,Cabbages,5312,ha,72128.0
507625,South-eastern Asia,1982-01-01,"Abaca, manila hemp, raw",5312,ha,207324.0
507628,South-eastern Asia,1982-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3290.0
507631,South-eastern Asia,1982-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,700.0
507634,South-eastern Asia,1982-01-01,Areca nuts,5312,ha,117400.0
507637,South-eastern Asia,1982-01-01,Asparagus,5312,ha,0.0
507640,South-eastern Asia,1982-01-01,Avocados,5312,ha,22620.0
507643,South-eastern Asia,1982-01-01,Bananas,5312,ha,767035.0
507646,South-eastern Asia,1982-01-01,"Beans, dry",5312,ha,1371222.0
507653,South-eastern Asia,1982-01-01,"Broad beans and horse beans, green",5312,ha,45.0
507658,South-eastern Asia,1982-01-01,Cabbages,5312,ha,60471.0
507917,South-eastern Asia,1983-01-01,"Abaca, manila hemp, raw",5312,ha,170924.0
507920,South-eastern Asia,1983-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3230.0
507923,South-eastern Asia,1983-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,700.0
507926,South-eastern Asia,1983-01-01,Areca nuts,5312,ha,127200.0
507929,South-eastern Asia,1983-01-01,Asparagus,5312,ha,0.0
507932,South-eastern Asia,1983-01-01,Avocados,5312,ha,20965.0
507935,South-eastern Asia,1983-01-01,Bananas,5312,ha,740191.0
507938,South-eastern Asia,1983-01-01,"Beans, dry",5312,ha,1424926.0
507945,South-eastern Asia,1983-01-01,"Broad beans and horse beans, green",5312,ha,50.0
507950,South-eastern Asia,1983-01-01,Cabbages,5312,ha,67591.0
508209,South-eastern Asia,1984-01-01,"Abaca, manila hemp, raw",5312,ha,171391.0
508212,South-eastern Asia,1984-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3170.0
508215,South-eastern Asia,1984-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,700.0
508218,South-eastern Asia,1984-01-01,Areca nuts,5312,ha,132158.0
508221,South-eastern Asia,1984-01-01,Asparagus,5312,ha,0.0
508224,South-eastern Asia,1984-01-01,Avocados,5312,ha,22057.0
508227,South-eastern Asia,1984-01-01,Bananas,5312,ha,755279.0
508230,South-eastern Asia,1984-01-01,"Beans, dry",5312,ha,1542882.0
508237,South-eastern Asia,1984-01-01,"Broad beans and horse beans, green",5312,ha,50.0
508242,South-eastern Asia,1984-01-01,Cabbages,5312,ha,73535.0
508501,South-eastern Asia,1985-01-01,"Abaca, manila hemp, raw",5312,ha,164987.0
508504,South-eastern Asia,1985-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3150.0
508507,South-eastern Asia,1985-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,700.0
508510,South-eastern Asia,1985-01-01,Areca nuts,5312,ha,110677.0
508513,South-eastern Asia,1985-01-01,Asparagus,5312,ha,0.0
508516,South-eastern Asia,1985-01-01,Avocados,5312,ha,25140.0
508519,South-eastern Asia,1985-01-01,Bananas,5312,ha,733344.0
508522,South-eastern Asia,1985-01-01,Barley,5312,ha,231.0
508525,South-eastern Asia,1985-01-01,"Beans, dry",5312,ha,1560236.0
508532,South-eastern Asia,1985-01-01,"Broad beans and horse beans, green",5312,ha,50.0
508796,South-eastern Asia,1986-01-01,"Abaca, manila hemp, raw",5312,ha,115297.0
508799,South-eastern Asia,1986-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3200.0
508802,South-eastern Asia,1986-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1600.0
508805,South-eastern Asia,1986-01-01,Areca nuts,5312,ha,127072.0
508808,South-eastern Asia,1986-01-01,Asparagus,5312,ha,0.0
508811,South-eastern Asia,1986-01-01,Avocados,5312,ha,21610.0
508814,South-eastern Asia,1986-01-01,Bananas,5312,ha,694675.0
508817,South-eastern Asia,1986-01-01,Barley,5312,ha,214.0
508820,South-eastern Asia,1986-01-01,"Beans, dry",5312,ha,1530531.0
508827,South-eastern Asia,1986-01-01,"Broad beans and horse beans, green",5312,ha,50.0
509091,South-eastern Asia,1987-01-01,"Abaca, manila hemp, raw",5312,ha,115262.0
509094,South-eastern Asia,1987-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3200.0
509097,South-eastern Asia,1987-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1600.0
509100,South-eastern Asia,1987-01-01,Areca nuts,5312,ha,111870.0
509103,South-eastern Asia,1987-01-01,Asparagus,5312,ha,0.0
509106,South-eastern Asia,1987-01-01,Avocados,5312,ha,19680.0
509109,South-eastern Asia,1987-01-01,Bananas,5312,ha,714701.0
509112,South-eastern Asia,1987-01-01,Barley,5312,ha,214.0
509115,South-eastern Asia,1987-01-01,"Beans, dry",5312,ha,1432192.0
509122,South-eastern Asia,1987-01-01,"Broad beans and horse beans, green",5312,ha,50.0
509386,South-eastern Asia,1988-01-01,"Abaca, manila hemp, raw",5312,ha,108760.0
509389,South-eastern Asia,1988-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3300.0
509392,South-eastern Asia,1988-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1300.0
509395,South-eastern Asia,1988-01-01,Areca nuts,5312,ha,132378.0
509398,South-eastern Asia,1988-01-01,Asparagus,5312,ha,1000.0
509402,South-eastern Asia,1988-01-01,Avocados,5312,ha,25372.0
509405,South-eastern Asia,1988-01-01,Bananas,5312,ha,726212.0
509408,South-eastern Asia,1988-01-01,Barley,5312,ha,75.0
509411,South-eastern Asia,1988-01-01,"Beans, dry",5312,ha,1500980.0
509418,South-eastern Asia,1988-01-01,"Broad beans and horse beans, green",5312,ha,100.0
509683,South-eastern Asia,1989-01-01,"Abaca, manila hemp, raw",5312,ha,105580.0
509686,South-eastern Asia,1989-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3300.0
509689,South-eastern Asia,1989-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1500.0
509692,South-eastern Asia,1989-01-01,Areca nuts,5312,ha,132540.0
509695,South-eastern Asia,1989-01-01,Asparagus,5312,ha,1650.0
509699,South-eastern Asia,1989-01-01,Avocados,5312,ha,26709.0
509702,South-eastern Asia,1989-01-01,Bananas,5312,ha,690137.0
509705,South-eastern Asia,1989-01-01,Barley,5312,ha,580.0
509708,South-eastern Asia,1989-01-01,"Beans, dry",5312,ha,1508587.0
509715,South-eastern Asia,1989-01-01,"Broad beans and horse beans, green",5312,ha,100.0
509980,South-eastern Asia,1990-01-01,"Abaca, manila hemp, raw",5312,ha,103004.0
