,Area,Year,Item,Element Code,Unit,value
13887,World,1989-01-01,"Pumpkins, squash and gourds",5419,hg/ha,108148.0
13903,World,1989-01-01,Rape or colza seed,5419,hg/ha,13123.0
13957,World,1989-01-01,Spinach,5419,hg/ha,117271.0
14018,World,1989-01-01,Watermelons,5419,hg/ha,149602.0
14021,World,1989-01-01,Wheat,5419,hg/ha,23732.0
14177,World,1990-01-01,Cranberries,5419,hg/ha,135431.0
14181,World,1990-01-01,Cucumbers and gherkins,5419,hg/ha,147326.0
14205,World,1990-01-01,"Ginger, raw",5419,hg/ha,27932.0
14215,World,1990-01-01,Green garlic,5419,hg/ha,79653.0
14310,World,1990-01-01,Oil palm fruit,5419,hg/ha,99591.0
14381,World,1990-01-01,"Pumpkins, squash and gourds",5419,hg/ha,109911.0
14397,World,1990-01-01,Rape or colza seed,5419,hg/ha,13871.0
14451,World,1990-01-01,Spinach,5419,hg/ha,127410.0
14512,World,1990-01-01,Watermelons,5419,hg/ha,165131.0
14515,World,1990-01-01,Wheat,5419,hg/ha,25626.0
14673,World,1991-01-01,Cranberries,5419,hg/ha,172309.0
14677,World,1991-01-01,Cucumbers and gherkins,5419,hg/ha,149751.0
14720,World,1991-01-01,"Ginger, raw",5419,hg/ha,28719.0
14732,World,1991-01-01,Green garlic,5419,hg/ha,89418.0
14823,World,1991-01-01,Oil palm fruit,5419,hg/ha,93043.0
14894,World,1991-01-01,"Pumpkins, squash and gourds",5419,hg/ha,113465.0
14910,World,1991-01-01,Rape or colza seed,5419,hg/ha,13968.0
14966,World,1991-01-01,Spinach,5419,hg/ha,129884.0
15027,World,1991-01-01,Watermelons,5419,hg/ha,159815.0
15030,World,1991-01-01,Wheat,5419,hg/ha,24414.0
15188,World,1992-01-01,Cranberries,5419,hg/ha,152156.0
15192,World,1992-01-01,Cucumbers and gherkins,5419,hg/ha,154467.0
15235,World,1992-01-01,"Ginger, raw",5419,hg/ha,28955.0
15247,World,1992-01-01,Green garlic,5419,hg/ha,92783.0
15338,World,1992-01-01,Oil palm fruit,5419,hg/ha,93602.0
15409,World,1992-01-01,"Pumpkins, squash and gourds",5419,hg/ha,119179.0
15425,World,1992-01-01,Rape or colza seed,5419,hg/ha,13203.0
